Team,Match Up,Game Date,W/L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPs,%PTS FT,%PTS Off TO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,TEAM_ID,GAME_ID
DAL,DAL vs. BOS,06/14/2024,W,48,59.3,40.7,50.8,1.6,36.9,9.0,12.3,13.9,49.2,25.8,74.2,86.7,13.3,45.7,54.3,1610612742,0042300404
BOS,BOS @ DAL,06/14/2024,L,48,48.8,51.3,35.7,4.8,50.0,7.1,14.3,10.7,31.0,53.3,46.7,71.4,28.6,62.1,37.9,1610612738,0042300404
DAL,DAL vs. BOS,06/12/2024,L,48,70.9,29.1,58.6,6.1,27.3,12.1,14.1,12.1,52.5,34.5,65.5,55.6,44.4,39.5,60.5,1610612742,0042300403
BOS,BOS @ DAL,06/12/2024,W,48,43.9,56.1,39.6,5.7,48.1,11.3,12.3,12.3,34.0,61.9,38.1,76.5,23.5,68.4,31.6,1610612738,0042300403
BOS,BOS vs. DAL,06/09/2024,W,48,53.6,46.4,53.3,9.5,28.6,14.3,18.1,20.0,43.8,75.0,25.0,80.0,20.0,76.3,23.7,1610612738,0042300402
DAL,DAL @ BOS,06/09/2024,L,48,67.5,32.5,65.3,10.2,18.4,7.1,16.3,12.2,55.1,53.1,46.9,66.7,33.3,55.3,44.7,1610612742,0042300402
DAL,DAL @ BOS,06/06/2024,L,48,67.9,32.1,62.9,11.2,23.6,6.7,13.5,14.6,51.7,21.4,78.6,42.9,57.1,25.7,74.3,1610612742,0042300401
BOS,BOS vs. DAL,06/06/2024,W,48,48.8,51.2,43.0,7.5,44.9,9.3,12.1,16.8,35.5,39.1,60.9,87.5,12.5,59.0,41.0,1610612738,0042300401
DAL,DAL @ MIN,05/30/2024,W,48,59.5,40.5,50.0,11.3,36.3,6.5,13.7,11.3,38.7,35.5,64.5,53.3,46.7,41.3,58.7,1610612742,0042300315
MIN,MIN vs. DAL,05/30/2024,L,48,64.0,36.0,54.4,9.7,29.1,9.7,16.5,7.8,44.7,42.9,57.1,50.0,50.0,44.7,55.3,1610612750,0042300315
DAL,DAL vs. MIN,05/28/2024,L,48,50.6,49.4,40.0,4.0,42.0,14.0,18.0,30.0,36.0,60.0,40.0,78.6,21.4,67.6,32.4,1610612742,0042300314
MIN,MIN @ DAL,05/28/2024,W,48,67.6,32.4,53.3,9.5,31.4,12.4,15.2,14.3,43.8,50.0,50.0,81.8,18.2,59.0,41.0,1610612750,0042300314
IND,IND vs. BOS,05/27/2024,L,48,66.7,33.3,58.8,13.7,29.4,14.7,11.8,10.8,45.1,50.0,50.0,90.0,10.0,60.0,40.0,1610612754,0042300304
BOS,BOS @ IND,05/27/2024,W,48,50.6,49.4,49.5,3.8,40.0,13.3,10.5,8.6,45.7,46.2,53.8,71.4,28.6,55.0,45.0,1610612738,0042300304
DAL,DAL vs. MIN,05/26/2024,W,48,58.8,41.2,41.4,6.9,36.2,9.5,22.4,12.9,34.5,41.7,58.3,64.3,35.7,50.0,50.0,1610612742,0042300313
MIN,MIN @ DAL,05/26/2024,L,48,64.7,35.3,63.6,16.8,25.2,3.7,11.2,9.3,46.7,52.9,47.1,88.9,11.1,60.5,39.5,1610612750,0042300313
IND,IND vs. BOS,05/25/2024,L,48,75.8,24.2,73.9,12.6,13.5,13.5,12.6,11.7,61.3,65.9,34.1,100.0,0.0,69.6,30.4,1610612754,0042300303
BOS,BOS @ IND,05/25/2024,W,48,44.6,55.4,40.4,5.3,42.1,14.9,17.5,17.5,35.1,47.8,52.2,81.3,18.8,61.5,38.5,1610612738,0042300303
MIN,MIN vs. DAL,05/24/2024,L,48,63.5,36.5,42.6,3.7,33.3,10.2,24.1,8.3,38.9,73.9,26.1,75.0,25.0,74.3,25.7,1610612750,0042300312
DAL,DAL @ MIN,05/24/2024,W,48,63.1,36.9,53.2,3.7,33.0,12.8,13.8,11.9,49.5,65.5,34.5,41.7,58.3,58.5,41.5,1610612742,0042300312
IND,IND @ BOS,05/23/2024,L,48,65.5,34.5,60.0,27.3,30.0,6.4,10.0,10.9,32.7,48.5,51.5,63.6,36.4,52.3,47.7,1610612754,0042300302
BOS,BOS vs. IND,05/23/2024,W,48,58.0,42.0,50.8,7.9,35.7,7.9,13.5,9.5,42.9,56.3,43.8,66.7,33.3,59.6,40.4,1610612738,0042300302
MIN,MIN vs. DAL,05/22/2024,L,48,44.9,55.1,38.1,1.9,51.4,11.4,10.5,8.6,36.2,45.0,55.0,77.8,22.2,60.5,39.5,1610612750,0042300311
DAL,DAL @ MIN,05/22/2024,W,48,71.3,28.7,68.5,11.1,16.7,8.3,14.8,13.0,57.4,45.9,54.1,66.7,33.3,48.8,51.2,1610612742,0042300311
IND,IND @ BOS,05/21/2024,L,53,64.6,35.4,62.5,18.8,30.5,10.9,7.0,16.4,43.8,70.0,30.0,76.9,23.1,71.7,28.3,1610612754,0042300301
BOS,BOS vs. IND,05/21/2024,W,53,54.5,45.5,48.1,4.5,33.8,12.0,18.0,24.1,43.6,53.1,46.9,86.7,13.3,63.8,36.2,1610612738,0042300301
MIN,MIN @ DEN,05/19/2024,W,48,57.0,43.0,42.9,8.2,30.6,13.3,26.5,15.3,34.7,47.6,52.4,80.0,20.0,58.1,41.9,1610612750,0042300237
DEN,DEN vs. MIN,05/19/2024,L,48,60.2,39.8,57.8,11.1,26.7,7.8,15.6,13.3,46.7,46.2,53.8,75.0,25.0,52.9,47.1,1610612743,0042300237
NYK,NYK vs. IND,05/19/2024,L,48,58.8,41.2,42.2,7.3,35.8,15.6,22.0,11.0,34.9,56.5,43.5,69.2,30.8,61.1,38.9,1610612752,0042300217
IND,IND @ NYK,05/19/2024,W,48,69.6,30.4,61.5,21.5,30.0,8.5,8.5,11.5,40.0,55.0,45.0,84.6,15.4,62.3,37.7,1610612754,0042300217
OKC,OKC @ DAL,05/18/2024,L,48,55.4,44.6,50.0,10.3,38.8,12.9,11.2,23.3,39.7,44.8,55.2,80.0,20.0,56.8,43.2,1610612760,0042300226
DAL,DAL vs. OKC,05/18/2024,W,48,58.5,41.5,44.4,10.3,41.0,8.5,14.5,16.2,34.2,46.2,53.8,81.3,18.8,59.5,40.5,1610612742,0042300226
NYK,NYK @ IND,05/17/2024,L,48,58.5,41.5,44.7,7.8,37.9,8.7,17.5,5.8,36.9,43.5,56.5,76.9,23.1,55.6,44.4,1610612752,0042300216
IND,IND vs. NYK,05/17/2024,W,48,71.4,28.6,69.0,15.5,23.3,6.9,7.8,10.3,53.4,70.0,30.0,77.8,22.2,71.4,28.6,1610612754,0042300216
DEN,DEN @ MIN,05/16/2024,L,48,58.1,41.9,54.3,2.9,30.0,12.9,15.7,4.3,51.4,63.2,36.8,85.7,14.3,69.2,30.8,1610612743,0042300236
MIN,MIN vs. DEN,05/16/2024,W,48,53.5,46.5,43.5,3.5,39.1,15.7,17.4,16.5,40.0,60.0,40.0,73.3,26.7,65.0,35.0,1610612750,0042300236
OKC,OKC vs. DAL,05/15/2024,L,48,54.0,46.0,58.7,10.9,32.6,8.7,8.7,18.5,47.8,40.7,59.3,90.0,10.0,54.1,45.9,1610612760,0042300225
BOS,BOS vs. CLE,05/15/2024,W,48,46.3,53.8,40.7,5.3,50.4,5.3,8.8,9.7,35.4,69.6,30.4,84.2,15.8,76.2,23.8,1610612738,0042300205
DAL,DAL @ OKC,05/15/2024,W,48,53.9,46.1,50.0,3.8,40.4,9.6,9.6,8.7,46.2,61.5,38.5,78.6,21.4,67.5,32.5,1610612742,0042300225
CLE,CLE @ BOS,05/15/2024,L,48,60.8,39.2,51.0,8.2,39.8,0.0,9.2,21.4,42.9,56.0,44.0,84.6,15.4,65.8,34.2,1610612739,0042300205
IND,IND @ NYK,05/14/2024,L,48,62.5,37.5,41.8,2.2,39.6,15.4,18.7,19.8,39.6,68.4,31.6,91.7,8.3,77.4,22.6,1610612754,0042300215
DEN,DEN vs. MIN,05/14/2024,W,48,76.3,23.8,62.5,7.1,24.1,14.3,13.4,16.1,55.4,62.9,37.1,88.9,11.1,68.2,31.8,1610612743,0042300235
MIN,MIN @ DEN,05/14/2024,L,48,66.7,33.3,61.9,12.4,24.7,4.1,13.4,12.4,49.5,76.7,23.3,87.5,12.5,78.9,21.1,1610612750,0042300235
NYK,NYK vs. IND,05/14/2024,W,48,65.3,34.7,57.9,6.6,29.8,10.7,12.4,19.8,51.2,42.9,57.1,91.7,8.3,55.3,44.7,1610612752,0042300215
CLE,CLE vs. BOS,05/13/2024,L,48,48.9,51.1,51.0,7.8,44.1,14.7,4.9,25.5,43.1,50.0,50.0,86.7,13.3,63.4,36.6,1610612739,0042300204
OKC,OKC @ DAL,05/13/2024,W,48,70.7,29.3,56.0,28.0,21.0,14.0,23.0,19.0,28.0,39.3,60.7,100.0,0.0,51.4,48.6,1610612760,0042300224
DAL,DAL vs. OKC,05/13/2024,L,48,60.2,39.8,50.0,8.3,37.5,11.5,12.5,10.4,41.7,66.7,33.3,83.3,16.7,72.2,27.8,1610612742,0042300224
BOS,BOS @ CLE,05/13/2024,W,48,59.0,41.0,47.7,12.8,33.0,20.2,19.3,12.8,34.9,34.6,65.4,50.0,50.0,39.5,60.5,1610612738,0042300204
DEN,DEN @ MIN,05/12/2024,W,48,63.3,36.7,55.7,10.4,33.9,6.1,10.4,17.4,45.2,59.4,40.6,76.9,23.1,64.4,35.6,1610612743,0042300234
IND,IND vs. NYK,05/12/2024,W,48,64.8,35.2,59.5,9.9,34.7,18.2,5.8,14.0,49.6,55.6,44.4,78.6,21.4,62.0,38.0,1610612754,0042300214
NYK,NYK @ IND,05/12/2024,L,48,58.4,41.6,51.7,6.7,23.6,5.6,24.7,20.2,44.9,56.5,43.5,71.4,28.6,60.0,40.0,1610612752,0042300214
MIN,MIN vs. DEN,05/12/2024,L,48,65.9,34.1,52.3,7.5,30.8,15.0,16.8,10.3,44.9,50.0,50.0,63.6,36.4,53.8,46.2,1610612750,0042300234
CLE,CLE vs. BOS,05/11/2024,L,48,57.1,42.9,51.6,0.0,38.7,8.6,9.7,7.5,51.6,50.0,50.0,41.7,58.3,47.2,52.8,1610612739,0042300203
OKC,OKC @ DAL,05/11/2024,L,48,63.0,37.0,55.4,15.8,29.7,9.9,14.9,17.8,39.6,53.6,46.4,80.0,20.0,60.5,39.5,1610612760,0042300223
BOS,BOS @ CLE,05/11/2024,W,48,57.5,42.5,52.8,5.7,36.8,11.3,10.4,5.7,47.2,46.4,53.6,69.2,30.8,53.7,46.3,1610612738,0042300203
DAL,DAL vs. OKC,05/11/2024,W,48,63.7,36.3,53.3,3.8,31.4,10.5,15.2,9.5,49.5,42.9,57.1,81.8,18.2,53.8,46.2,1610612742,0042300223
