Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,TEAM_ID,GAME_ID
BOS,BOS @ DAL,06/14/2024,L,240,84,29,80,36.3,14,41,34.1,12,13,92.3,4,27,31,18,2,5,14,19,-38,1610612738,0042300404
DAL,DAL vs. BOS,06/14/2024,W,240,122,46,91,50.5,15,37,40.5,15,22,68.2,13,39,52,21,7,2,9,17,38,1610612742,0042300404
BOS,BOS @ DAL,06/12/2024,W,240,106,38,82,46.3,17,46,37.0,13,14,92.9,6,30,36,26,4,6,9,19,7,1610612738,0042300403
DAL,DAL vs. BOS,06/12/2024,L,240,99,38,86,44.2,9,25,36.0,14,16,87.5,7,36,43,15,5,1,9,17,-7,1610612742,0042300403
DAL,DAL @ BOS,06/09/2024,L,240,98,38,80,47.5,6,26,23.1,16,24,66.7,9,34,43,21,5,3,15,17,-7,1610612742,0042300402
BOS,BOS vs. DAL,06/09/2024,W,240,105,38,84,45.2,10,39,25.6,19,20,95.0,10,31,41,29,10,5,11,15,7,1610612738,0042300402
DAL,DAL @ BOS,06/06/2024,L,240,89,35,84,41.7,7,27,25.9,12,19,63.2,10,33,43,9,8,1,11,16,-18,1610612742,0042300401
BOS,BOS vs. DAL,06/06/2024,W,240,107,39,82,47.6,16,42,38.1,13,19,68.4,10,37,47,23,6,9,14,16,18,1610612738,0042300401
MIN,MIN vs. DAL,05/30/2024,L,240,103,38,89,42.7,10,32,31.3,17,21,81.0,13,28,41,17,8,5,14,17,-21,1610612750,0042300315
DAL,DAL @ MIN,05/30/2024,W,240,124,46,84,54.8,15,34,44.1,17,23,73.9,9,36,45,19,7,5,13,20,21,1610612742,0042300315
DAL,DAL vs. MIN,05/28/2024,L,240,100,34,81,42.0,14,40,35.0,18,21,85.7,10,28,38,23,6,4,14,22,-5,1610612742,0042300314
MIN,MIN @ DAL,05/28/2024,W,240,105,39,74,52.7,11,24,45.8,16,25,64.0,6,34,40,23,9,4,15,23,5,1610612750,0042300314
BOS,BOS @ IND,05/27/2024,W,240,105,40,89,44.9,14,44,31.8,11,14,78.6,12,32,44,22,10,6,13,18,3,1610612738,0042300304
IND,IND vs. BOS,05/27/2024,L,240,102,40,87,46.0,10,29,34.5,12,16,75.0,13,34,47,24,5,4,14,19,-3,1610612754,0042300304
DAL,DAL vs. MIN,05/26/2024,W,240,116,38,68,55.9,14,28,50.0,26,31,83.9,7,25,32,19,7,5,14,19,9,1610612742,0042300313
MIN,MIN @ DAL,05/26/2024,L,240,107,43,85,50.6,9,30,30.0,12,17,70.6,10,23,33,26,4,2,10,24,-9,1610612750,0042300313
IND,IND vs. BOS,05/25/2024,L,240,111,46,91,50.5,5,22,22.7,14,14,100.0,9,34,43,32,4,1,11,21,-3,1610612754,0042300303
BOS,BOS @ IND,05/25/2024,W,240,114,39,83,47.0,16,46,34.8,20,26,76.9,7,29,36,24,7,12,8,18,3,1610612738,0042300303
MIN,MIN vs. DAL,05/24/2024,L,240,108,35,85,41.2,12,31,38.7,26,32,81.3,12,28,40,26,7,7,9,19,-1,1610612750,0042300312
DAL,DAL @ MIN,05/24/2024,W,240,109,41,84,48.8,12,31,38.7,15,22,68.2,11,33,44,24,7,7,10,17,1,1610612742,0042300312
IND,IND @ BOS,05/23/2024,L,240,110,44,84,52.4,11,29,37.9,11,16,68.8,12,25,37,23,5,2,16,23,-16,1610612754,0042300302
BOS,BOS vs. IND,05/23/2024,W,240,126,47,88,53.4,15,37,40.5,17,20,85.0,13,27,40,28,9,2,12,16,16,1610612738,0042300302
MIN,MIN vs. DAL,05/22/2024,L,240,105,38,89,42.7,18,49,36.7,11,18,61.1,10,30,40,23,8,3,10,17,-3,1610612750,0042300311
DAL,DAL @ MIN,05/22/2024,W,240,108,43,87,49.4,6,25,24.0,16,17,94.1,11,37,48,21,5,8,13,15,3,1610612742,0042300311
BOS,BOS vs. IND,05/21/2024,W,265,133,47,99,47.5,15,45,33.3,24,30,80.0,13,30,43,30,11,5,15,15,5,1610612738,0042300301
IND,IND @ BOS,05/21/2024,L,265,128,53,99,53.5,13,35,37.1,9,10,90.0,10,34,44,38,8,4,22,23,-5,1610612754,0042300301
MIN,MIN @ DEN,05/19/2024,W,240,98,31,79,39.2,10,34,29.4,26,30,86.7,11,36,47,18,9,6,9,21,8,1610612750,0042300237
DEN,DEN vs. MIN,05/19/2024,L,240,90,34,83,41.0,8,33,24.2,14,16,87.5,11,33,44,18,3,7,10,23,-8,1610612743,0042300237
IND,IND @ NYK,05/19/2024,W,240,130,53,79,67.1,13,24,54.2,11,16,68.8,7,26,33,33,7,9,14,22,21,1610612754,0042300217
NYK,NYK vs. IND,05/19/2024,L,240,109,36,85,42.4,13,35,37.1,24,27,88.9,9,19,28,22,5,2,10,17,-21,1610612752,0042300217
OKC,OKC @ DAL,05/18/2024,L,240,116,44,92,47.8,15,41,36.6,13,17,76.5,7,24,31,25,10,5,10,20,-1,1610612760,0042300226
DAL,DAL vs. OKC,05/18/2024,W,240,117,42,82,51.2,16,34,47.1,17,24,70.8,14,33,47,25,5,4,18,23,1,1610612742,0042300226
NYK,NYK @ IND,05/17/2024,L,240,103,36,82,43.9,13,34,38.2,18,26,69.2,13,22,35,20,6,5,9,15,-13,1610612752,0042300216
IND,IND vs. NYK,05/17/2024,W,240,116,49,91,53.8,9,26,34.6,9,13,69.2,14,33,47,35,3,8,9,21,13,1610612754,0042300216
DEN,DEN @ MIN,05/16/2024,L,240,70,26,86,30.2,7,36,19.4,11,14,78.6,10,33,43,18,2,5,12,17,-45,1610612743,0042300236
MIN,MIN vs. DEN,05/16/2024,W,240,115,40,86,46.5,15,40,37.5,20,24,83.3,11,51,62,26,9,4,6,14,45,1610612750,0042300236
DAL,DAL @ OKC,05/15/2024,W,240,104,40,76,52.6,14,35,40.0,10,13,76.9,9,37,46,27,5,5,14,17,12,1610612742,0042300225
OKC,OKC vs. DAL,05/15/2024,L,240,92,37,87,42.5,10,40,25.0,8,10,80.0,8,25,33,20,8,2,7,15,-12,1610612760,0042300225
BOS,BOS vs. CLE,05/15/2024,W,240,113,42,80,52.5,19,43,44.2,10,12,83.3,11,32,43,32,6,6,14,15,15,1610612738,0042300205
CLE,CLE @ BOS,05/15/2024,L,240,98,38,79,48.1,13,31,41.9,9,12,75.0,6,22,28,25,5,2,10,16,-15,1610612739,0042300205
DEN,DEN vs. MIN,05/14/2024,W,240,112,44,80,55.0,9,19,47.4,15,18,83.3,8,30,38,30,6,5,12,17,15,1610612743,0042300235
MIN,MIN @ DEN,05/14/2024,L,240,97,38,78,48.7,8,26,30.8,13,19,68.4,8,25,33,30,7,7,14,20,-15,1610612750,0042300235
IND,IND @ NYK,05/14/2024,L,240,91,31,72,43.1,12,27,44.4,17,22,77.3,5,24,29,24,5,6,18,19,-30,1610612754,0042300215
NYK,NYK vs. IND,05/14/2024,W,240,121,47,101,46.5,12,35,34.3,15,19,78.9,20,33,53,26,7,5,9,22,30,1610612752,0042300215
DAL,DAL vs. OKC,05/13/2024,L,240,96,36,88,40.9,12,35,34.3,12,23,52.2,12,35,47,26,4,13,14,18,-4,1610612742,0042300224
OKC,OKC @ DAL,05/13/2024,W,240,100,35,92,38.0,7,27,25.9,23,24,95.8,12,33,45,18,8,9,8,20,4,1610612760,0042300224
BOS,BOS @ CLE,05/13/2024,W,240,109,38,78,48.7,12,32,37.5,21,24,87.5,10,38,48,15,6,4,15,12,7,1610612738,0042300204
CLE,CLE vs. BOS,05/13/2024,L,240,102,41,94,43.6,15,48,31.3,5,7,71.4,8,24,32,26,8,3,8,17,-7,1610612739,0042300204
DEN,DEN @ MIN,05/12/2024,W,240,115,45,79,57.0,13,29,44.8,12,15,80.0,5,26,31,29,7,6,12,20,8,1610612743,0042300234
MIN,MIN vs. DEN,05/12/2024,L,240,107,39,82,47.6,11,28,39.3,18,27,66.7,12,30,42,21,5,3,11,21,-8,1610612750,0042300234
IND,IND vs. NYK,05/12/2024,W,240,121,50,88,56.8,14,31,45.2,7,8,87.5,9,43,52,31,9,7,14,25,32,1610612754,0042300214
NYK,NYK @ IND,05/12/2024,L,240,89,30,89,33.7,7,37,18.9,22,31,71.0,16,27,43,18,8,2,14,12,-32,1610612752,0042300214
CLE,CLE vs. BOS,05/11/2024,L,240,93,36,84,42.9,12,36,33.3,9,10,90.0,7,28,35,17,4,2,8,14,-13,1610612739,0042300203
BOS,BOS @ CLE,05/11/2024,W,240,106,41,80,51.3,13,34,38.2,11,14,78.6,9,35,44,22,3,4,12,14,13,1610612738,0042300203
DAL,DAL vs. OKC,05/11/2024,W,240,105,39,91,42.9,11,33,33.3,16,25,64.0,15,33,48,21,7,2,14,16,4,1610612742,0042300223
OKC,OKC @ DAL,05/11/2024,L,240,101,38,81,46.9,10,30,33.3,15,19,78.9,6,35,41,23,7,11,14,22,-4,1610612760,0042300223
